"age","bin_ave","cu95","cl95","nentities","ninwin"
3800,0.767352779260837,1.03907360166608,0.478831614063454,290,290
3900,0.643304866731645,0.898276759674935,0.346666223464983,272,273
4000,0.579747729672335,0.858154148511632,0.299067230681585,277,286
4100,0.714270150823267,0.957085707769434,0.424873956180256,282,280
4200,0.608665368394904,0.900304315524813,0.275120200260368,274,276
4300,0.642885405331926,0.887749604001303,0.37015624902229,267,272
4400,0.672065078923512,1.00447675341234,0.368970720506102,286,280
4500,0.627296721199098,0.8802312314603,0.274230283967299,267,268
4600,0.672682243155322,0.947001406763221,0.377463675936398,295,286
4700,0.683889268961701,0.962049255895605,0.402716845262215,273,281
4800,0.826321284972763,1.1427494713926,0.472500522318647,267,273
4900,0.666783895015815,0.989415077089781,0.345620574489911,284,277
5000,0.78299020376806,1.12105070443551,0.44460235912038,274,277
5100,0.796011289259852,1.08997784111085,0.466925820924055,270,265
5200,0.904339522591474,1.20548308351964,0.583472936753472,257,274
5300,0.776693566730273,1.1068535984422,0.458760960326741,290,261
5400,0.930819771172027,1.31969186241122,0.585068142519176,268,283
5500,0.765016626294322,1.14331817543982,0.367354216799909,279,277
5600,0.747258636366048,1.13509364082993,0.399630142808992,288,282
5700,0.870786291457848,1.28068739498893,0.527238481060414,281,292
5800,0.652215756691959,0.959874458142151,0.339263755521135,282,293
5900,0.689755481741202,1.05004157798197,0.386991288476623,287,279
6000,0.681800772957899,0.969982708617287,0.397696182802057,296,285
6100,0.554355553628009,0.819077170649795,0.26673103452296,276,283
6200,0.708960853916308,1.05079063657603,0.430173291581416,280,280
6300,0.684126968328452,0.986760745310201,0.418939559948775,276,285
6400,0.761990921241853,1.09079416417301,0.47471291867891,290,276
6500,0.664184255718903,0.983818440151874,0.376365151957564,268,271
6600,0.557141077289734,0.82067174537727,0.309515801335939,284,271
6700,0.556682748413792,0.79095180458794,0.281364014362953,276,298
6800,0.560799744081152,0.790208448056454,0.299078573269088,275,259
6900,0.500758605923197,0.707152278086412,0.226989281332375,274,288
7000,0.529807604535013,0.754996464965151,0.291139416559129,280,281
7100,0.62040109030115,0.889817488808986,0.353841160381609,285,273
7200,0.575790578757794,0.83021475385232,0.329337957606967,273,289
7300,0.637421807032091,0.888704636077445,0.347616571533336,278,260
7400,0.603844010946621,0.861894540350532,0.350251538261574,276,296
7500,0.573514196363365,0.791009764826765,0.280373247082865,300,276
7600,0.597029731247573,0.8476174865778,0.337503784153017,298,291
7700,0.571375437281821,0.788496549937203,0.331049376398632,268,282
7800,0.441249095218438,0.653061207173947,0.181487025498219,285,276
7900,0.506877679952087,0.781998634490517,0.218921918372642,287,291
8000,0.368059441551779,0.61479053075545,0.13985268375518,297,294
8100,0.523578698962867,0.789470921900536,0.252611578324274,281,289
8200,0.541208115055223,0.766009851661164,0.280507444441498,292,295
8300,0.480550768915465,0.704517685483036,0.198094955127952,266,266
8400,0.499685949286468,0.732408340693364,0.266621218019046,287,288
8500,0.473204307549806,0.708000583767719,0.217180738831029,292,283
8600,0.521637701033395,0.743580077930151,0.30214174089258,284,289
8700,0.469374962928886,0.710793085712226,0.220685922456169,286,288
8800,0.556071250953449,0.797499569985833,0.277347961051054,285,277
8900,0.497016501271004,0.709330466627429,0.238396859307611,280,281
9000,0.51853350299997,0.722822888750992,0.287368113317036,295,288
9100,0.423258227826171,0.652488805514015,0.161663137618207,284,287
9200,0.421243167453564,0.621071239627669,0.216111231916912,288,286
9300,0.520193782493082,0.725119333543062,0.315711464432629,284,286
9400,0.500788209514758,0.705618026367122,0.32270889641013,285,288
9500,0.491974763728761,0.687416134138889,0.305064899915042,292,294
9600,0.400576157489058,0.58138372741742,0.186214954787076,269,281
9700,0.399034442855009,0.623540347693868,0.204840556590776,288,276
9800,0.245769275871065,0.414475578474643,0.068354317305624,301,293
9900,0.422037885187179,0.59079547602204,0.246757537544208,282,291
10000,0.2895806444298,0.433100806428557,0.119790616720502,282,275
10100,0.276115684867539,0.398026023947851,0.14543241655453,292,296
10200,0.229861963534582,0.358269113256344,0.108904699972595,304,297
10300,0.101744394424686,0.240010912753771,-0.0227329236907006,292,297
10400,0.0513884645804846,0.179121721442156,-0.0727761348345005,272,290
10500,0.145164590215771,0.256656405359146,0.0204483597538477,283,274
10600,0.157413982421132,0.282004595857039,0.0330950820865537,260,265
10700,0.144701235159503,0.264201038326671,0.0101589292385487,264,259
10800,0.000984784344484879,0.117843235987684,-0.108411012088678,268,262
10900,0.0847919185587758,0.219686683850591,-0.0434591400328618,256,271
11000,0.088656110346956,0.194597301510248,-0.0188670204428464,255,255
11100,0.118206389907012,0.237964992038429,0.00952174514451974,241,250
11200,0.142610535441416,0.256653779315429,0.00238200306503656,241,233
11300,-0.0383997251775976,0.0768925502848001,-0.171024141912941,214,224
11400,-0.0226754875688229,0.114407695843193,-0.165229389076881,208,210
