"age","locfit","cu95","cl95","nentities","window","ninwin"
4135,0.6285203168306,1.06894048329818,0.194147645908844,118,200,217
4185,0.536882603055038,0.921718708497394,0.142993863437605,117,200,224
4235,0.582621188585169,0.936759940927692,0.191962713167812,120,200,222
4285,0.604938420156074,0.95878898180034,0.243678714213045,116,200,222
4335,0.610537550559615,1.02618877433012,0.236891116317973,112,200,226
4385,0.610198858553267,1.00247143779742,0.243364495591525,121,200,220
4435,0.609794176716137,0.977805154522634,0.262600739133473,120,200,224
4485,0.601151525631934,0.942475988812892,0.258966702904622,121,200,220
4535,0.625527795523757,0.961933636151589,0.299268266677768,118,200,216
4585,0.627520901320363,1.02002330956792,0.279405229823568,100,200,224
4635,0.640930898487301,1.0001155215945,0.318272757510768,130,200,232
4685,0.703067129805448,1.05011050915818,0.379119966143185,124,200,225
4735,0.778275127530361,1.15613961155087,0.432458458908795,126,200,224
4785,0.838011860940841,1.26597029740292,0.498904396118882,118,200,218
4835,0.711084370691094,1.11340118528503,0.356623559302526,115,200,215
4885,0.656449389137807,1.06404556660942,0.257747367801092,123,200,219
4935,0.749406036645949,1.16288953458811,0.350305567429691,110,200,226
4985,0.720956667328446,1.15023061234866,0.353147137656615,131,200,227
5035,0.703139760959579,1.13483377254669,0.344501250548347,122,200,232
5085,0.747678817926713,1.18185742883489,0.407046757786233,125,200,229
5135,0.81693190076262,1.23353317501587,0.454082772969951,120,200,230
5185,0.858178701548683,1.27242332581614,0.514290729570966,116,200,215
5235,0.793380801745069,1.23895022641801,0.421034682534183,123,200,219
5285,0.666579194727761,1.13058886008498,0.300233012369657,117,200,228
5335,0.589293508855041,1.1170134215198,0.217430265755471,120,200,232
5385,0.617058064555425,1.18132731740395,0.229187928931484,127,200,228
5435,0.669438743953116,1.28260914404069,0.258797875271741,116,200,231
5485,0.770509407009585,1.3242725070239,0.292543470790679,119,200,222
5535,0.806736456463115,1.33108229734882,0.345882598541302,123,200,220
5585,0.748314453957261,1.31995202544087,0.300154137830817,119,200,221
5635,0.706919833650933,1.32326191156662,0.296133218076846,126,200,226
5685,0.745346424989862,1.3639559730101,0.330461618520151,122,200,225
5735,0.773835294523998,1.30104892900397,0.39046200475074,130,200,228
5785,0.693681377444473,1.12193833723488,0.293702639014722,122,200,230
